Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"78705, USA",12/1/20,64.1,29.7,46.6,37.7,,0,,,17.2,27.7,9.9,1.1,51.44,Clear
"78705, USA",12/2/20,65.1,45.9,53.1,42.3,,0,,2.4,13.9,25.2,9.9,34,61.72,Partially cloudy
"78705, USA",12/3/20,57.8,39.8,47,34.9,,0,,,12.8,25.3,9.9,9.6,53.39,Clear
"78705, USA",12/4/20,60.1,36,46,32.4,,0,,,7.1,17.2,9.9,0.8,56.48,Clear
"78705, USA",12/5/20,53.1,37.9,45.4,37.5,,0.01,,,4.7,,9.9,29.6,74.54,"Rain, Partially cloudy"
"78705, USA",12/6/20,66.8,42.8,52.8,38.1,,0,,,10.3,21.9,9.8,0.5,55.47,Clear
"78705, USA",12/7/20,71.1,41.2,53.9,37.9,,0,,5.5,7.1,25.3,9.9,0,48.56,Clear
"78705, USA",12/8/20,78.2,43.8,57,39.9,,0,,,8,17.2,9.9,0.3,45.25,Clear
"78705, USA",12/9/20,81,46.2,61.1,44,79,0,,,5.8,,9.9,0.2,35.1,Clear
"78705, USA",12/10/20,78.3,45.3,62,,,0,,,16.1,28.9,9.9,1.7,52.11,Clear
"78705, USA",12/11/20,71.1,58.6,64.4,,,0.06,,,6.9,,7.7,49.1,84.27,"Rain, Partially cloudy"
"78705, USA",12/12/20,63,48.8,55.1,45.7,,0,,,10.4,19.7,8.8,8.5,62.98,Clear
"78705, USA",12/13/20,68,42.4,53.7,37.3,,0,,,19.9,35.8,7.3,56.1,71.02,Partially cloudy
"78705, USA",12/14/20,51.2,36,42.3,30.9,,0,,,14.2,36.6,9.9,23.5,65.48,Clear
"78705, USA",12/15/20,58,39.7,47.1,37.6,,0,,,8.3,28.9,8.2,58.6,72.77,Partially cloudy
"78705, USA",12/16/20,56.8,37,45.3,33.2,,0,,,12.8,24.2,9.9,0.1,47.15,Clear
"78705, USA",12/17/20,64.1,30.6,46.2,43.8,,0,,,7,,9.9,0,54.94,Clear
"78705, USA",12/18/20,64.2,38.4,52.8,36.3,,0,,,13.9,25.3,9.6,55.9,71.06,Partially cloudy
"78705, USA",12/19/20,68,45.8,59.4,,,0.56,,6,8.2,18.3,8.4,62.3,76.76,"Rain, Partially cloudy"
"78705, USA",12/20/20,68.1,42,52.3,41.3,,0,,,7.7,17.2,9.9,0.5,60.41,Clear
"78705, USA",12/21/20,74,39.7,54.6,42.1,,0,,,6,,9.9,1.6,54.19,Clear
"78705, USA",12/22/20,74,43.8,59,,,0,,,13.9,23,9.6,36.3,68.05,Partially cloudy
"78705, USA",12/23/20,80,51.2,66.4,,79.3,0,,1.1,21.9,34.4,9.9,57.3,57.18,Partially cloudy
"78705, USA",12/24/20,56,35.1,45.6,30,,0,,,15.6,33.4,9.9,0.5,28.28,Clear
"78705, USA",12/25/20,69.2,41.7,52.3,37.4,,0,,,9,18.3,9.9,1.9,25.6,Clear
"78705, USA",12/26/20,70.1,36.8,54.1,,,0,,,10.5,28.9,9.9,0.7,43.59,Clear
"78705, USA",12/27/20,75.9,47.5,60.6,,,0,,,10.8,25.8,9.9,3.7,66.56,Clear
"78705, USA",12/28/20,75,56.5,65,,,0,,,12.1,21.9,8.8,87.3,75.86,Overcast
"78705, USA",12/29/20,75,63,67.3,,,0,,,21.7,34.8,9.8,98.6,73.78,Overcast
"78705, USA",12/30/20,72.8,44.7,59.8,38.6,,0.36,,,20,28.7,8.3,95.1,86.96,"Rain, Overcast"
"78705, USA",12/31/20,44.5,37.2,40.4,31.8,,1.65,,,13.9,26,6.8,86.4,89.03,"Rain, Overcast"
