Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"78705, USA",01/01/2021,53.1,37.2,43.3,30.5,,1.27,,,11.6,24.5,9.9,25.2,66.31,"Rain, Partially cloudy"
"78705, USA",01/02/2021,63,37,47.6,34.5,,0,,,6.9,18.3,9.9,1.2,53.69,Clear
"78705, USA",01/03/2021,71,37.8,53.2,42.4,,0,,,9.3,26.4,9.9,0.3,49.68,Clear
"78705, USA",01/04/2021,77.1,40.8,57.7,38.9,,0,,,7.2,,9.9,0.2,52.36,Clear
"78705, USA",01/05/2021,71.9,44.4,58.8,47,,0,,,9.2,18.3,9.9,14.9,59.37,Clear
"78705, USA",01/06/2021,67.9,51.3,61.3,,,0.22,,,17.3,41.4,8.4,28.4,68.75,"Rain, Partially cloudy"
"78705, USA",01/07/2021,62.1,44.1,51.7,41.4,,0,,,11.7,27.7,9.9,0,47.83,Clear
"78705, USA",01/08/2021,53,37,44.4,35.6,,0,,,16.1,20.8,9.9,19.5,67.39,Clear
"78705, USA",01/09/2021,53.1,32.6,43.3,31.2,,0.01,,,10.1,,9.9,32.2,66.46,"Rain, Partially cloudy"
"78705, USA",01/10/2021,45.1,33.4,38.1,23.9,,0.8,,1.18,16.4,20.8,6.5,99.1,83.89,"Rain, Overcast"
"78705, USA",01/11/2021,38,35,35.7,29.4,,0,,,8.3,,9.8,48.1,82.52,Partially cloudy
