Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"78705, USA",11/1/20,78.2,49.8,63.2,,,0,,2,16.1,24.2,9.9,2.2,52.89,Clear
"78705, USA",11/2/20,75.9,46.5,60.8,,,0,,2.2,4.8,,9.9,1.2,43.43,Clear
"78705, USA",11/3/20,80.1,43.7,61.3,,78.5,0,,,10.3,20.8,9.9,1.2,43.23,Clear
"78705, USA",11/4/20,81,47.7,64.7,,80.1,0,,,8.3,25.3,9.9,1,56.16,Clear
"78705, USA",11/5/20,82.1,56.5,68,,81.6,0,,,9.2,19.7,9.9,24.1,68.75,Clear
"78705, USA",11/6/20,80,63.7,70,,80.4,0,,,6.6,,9.6,65.4,66.54,Partially cloudy
"78705, USA",11/7/20,81,54.8,67.6,,80.2,0,,,6.9,,9.9,0.9,61.88,Clear
"78705, USA",11/8/20,83,60,70.5,,82.7,0,,,11.6,20.8,9.4,42.9,67.88,Partially cloudy
"78705, USA",11/9/20,84.8,66.6,73.8,,84.5,0,,,13.8,27.7,9.9,51.4,65.74,Partially cloudy
"78705, USA",11/10/20,79.1,64.9,71.3,,,0,,1.1,9.4,22.8,9.8,85.2,58.83,Overcast
"78705, USA",11/11/20,83,58.8,69.8,,81.7,0,,,6.1,,9.9,24.7,40.81,Clear
"78705, USA",11/12/20,83,62.9,71.5,,83.5,0,,,6.9,21.9,9.7,40.7,60.15,Partially cloudy
"78705, USA",11/13/20,83.9,64.7,73.2,,84.3,0,,,9,,8.7,81.8,72.43,Overcast
"78705, USA",11/14/20,86.1,71.9,76.6,,86.3,0,,,11.6,27.7,9.9,48.4,66.97,Partially cloudy
"78705, USA",11/15/20,74,54.4,65.3,,,0,,,16.4,29.5,9.9,2.2,33.7,Clear
"78705, USA",11/16/20,74.1,42.7,57.4,43.4,,0,,,4.5,,9.9,0,36.98,Clear
"78705, USA",11/17/20,77,41.9,58.8,44.5,,0,,5.5,8.2,,9.9,0.7,38.61,Clear
"78705, USA",11/18/20,80.1,43.7,61.8,,79.6,0,,,10.2,20.8,9.9,0.3,49.91,Clear
"78705, USA",11/19/20,82.2,58.6,68.6,,81,0,,,12.8,24.2,9,24,65.06,Clear
"78705, USA",11/20/20,81,62.5,70.7,,80.9,0,,,9.2,17.2,9.1,23.4,67.37,Clear
"78705, USA",11/21/20,80.9,65.6,71.8,,80.8,0.01,,,6.9,,8.8,40.3,67.92,"Rain, Partially cloudy"
"78705, USA",11/22/20,83,59.1,69.5,,82.7,0,,,11.7,23.3,9.8,45.9,71.5,Partially cloudy
"78705, USA",11/23/20,66.9,52.1,57.8,,,0,,8.9,9.2,18.3,9.7,70.6,71.21,Partially cloudy
"78705, USA",11/24/20,83.1,59.1,70.5,,84.2,0.03,,,15,29.8,8.8,68.1,75.76,"Rain, Partially cloudy"
"78705, USA",11/25/20,73.1,52.7,64.3,,,0,,,11.6,21.9,9.9,31.2,45.97,Partially cloudy
"78705, USA",11/26/20,78.2,45.9,61.4,,,0,,,6.9,,9.8,36.4,67.36,Partially cloudy
"78705, USA",11/27/20,70.1,60.2,65.5,,,0.02,,,11.6,23,7.9,99.6,77.36,"Rain, Overcast"
"78705, USA",11/28/20,60.2,52.1,57.2,,,0.63,,,9.2,18.5,6.8,100,81.3,"Rain, Overcast"
"78705, USA",11/29/20,56.1,46.2,50.5,42,,0.02,,,17.2,28.9,9.8,80.3,73.78,"Rain, Overcast"
